timestamp,open,high,low,close,volume,delta_$,delta_%
1/1/2016,0.9315838,0.95911596,0.92653533,0.94417776,91391.5,0.03258063,0.033969438
1/2/2016,0.94625373,0.96749356,0.93120734,0.93318636,100236.33,0.03628622,0.037505387
1/3/2016,0.93202262,0.9909089,0.92415045,0.96433739,165466.6,0.06675845,0.067370926
1/4/2016,0.96585654,0.98044897,0.91472383,0.94857799,166068.75,0.06572514,0.067035758
1/5/2016,0.94481946,0.96974133,0.93316706,0.95166317,94021.24,0.03657427,0.037715491
1/6/2016,0.9519283,0.96227526,0.93339054,0.95284852,127914.56,0.02888472,0.030017108
1/7/2016,0.95459687,1.03664507,0.94032984,0.94060177,358287.24,0.09631523,0.092910518
1/8/2016,0.9405178,0.99849413,0.92797038,0.98477434,235963.55,0.07052375,0.07063011
1/9/2016,0.98500325,0.99346793,0.96460123,0.9847959,99443.75,0.0288667,0.029056499
1/10/2016,0.98506484,1.01849055,0.97811549,1.0019187,196047.61,0.04037506,0.039642057
1/11/2016,1.00258087,1.07465352,0.99493394,1.06461655,654162.56,0.07971958,0.074181658
1/12/2016,1.06292225,1.26700224,1.01686978,1.15116189,1808018.96,0.25013246,0.197420693
1/13/2016,1.1326438,1.16092001,1.07369555,1.12179925,532546.55,0.08722446,0.07513391
1/14/2016,1.12753454,1.20742703,1.0938706,1.2011966,387940.96,0.11355643,0.094048276
1/15/2016,1.200352,1.25447676,0.98494951,1.20480007,2767175.06,0.26952725,0.214852326
1/16/2016,1.20507421,1.37727425,1.20403682,1.22532106,1672128.21,0.17323743,0.125782813
1/17/2016,1.22442769,1.33154659,1.18627274,1.32489652,774877.24,0.14527385,0.10910159
1/18/2016,1.32536692,1.54647344,1.30487756,1.42350545,3101411.41,0.24159588,0.15622375
1/19/2016,1.42315961,1.43766456,1.27297154,1.36709926,1468809.37,0.16469302,0.114555943
1/20/2016,1.36978322,1.67566135,1.36978322,1.53921817,1974050.54,0.30587813,0.182541735
1/21/2016,1.53204088,1.56648786,1.45653609,1.55735144,941757.36,0.10995177,0.070189992
1/22/2016,1.55946629,1.55946629,1.42059271,1.50721162,914484.74,0.13887358,0.089051992
1/23/2016,1.50901911,2.05638768,1.50507001,1.95055456,5253861.94,0.55131767,0.268100065
1/24/2016,1.94623557,2.34479052,1.91363899,2.13496357,6709365.58,0.43115153,0.183876353
1/25/2016,2.14820602,2.69528938,2.01739159,2.4985718,7281965.02,0.67789779,0.251512062
1/26/2016,2.49925406,2.86963464,1.87456093,2.27999209,9803580.58,0.99507371,0.346759722
1/27/2016,2.28555754,2.63007475,2.15066027,2.40266689,4944686.65,0.47941448,0.182281694
1/28/2016,2.39494028,2.67439836,2.23391945,2.53420008,3372376.4,0.44047891,0.164702057
1/29/2016,2.53007178,2.67930411,2.23917437,2.52119546,4584270.72,0.44012974,0.164270169
1/30/2016,2.5003983,2.61223213,2.38965458,2.44876802,2176409.25,0.22257755,0.085205885
1/31/2016,2.44777222,2.47220515,2.11467649,2.29801814,3938560.77,0.35752866,0.144619333
2/1/2016,2.30801131,2.33428763,2.08707989,2.20677134,2417909.27,0.24720774,0.105902862
2/2/2016,2.21236217,2.44834564,2.13820994,2.42503077,2133925.82,0.3101357,0.126671535
2/3/2016,2.42409527,2.52994059,2.30864383,2.52258176,2295401.94,0.22129676,0.087471129
2/4/2016,2.53403893,2.68704365,2.49583508,2.57825596,2226225.21,0.19120857,0.071159458
2/5/2016,2.57754093,2.60500436,2.42773116,2.54214845,1523304.16,0.1772732,0.068051019
2/6/2016,2.54169157,2.55046252,2.43835522,2.51519393,1060901.29,0.1121073,0.043955674
2/7/2016,2.5321701,3.0830419,2.51317315,2.96838642,4760805.96,0.56986875,0.184839768
2/8/2016,2.95532777,3.2446791,2.82516411,3.15030349,6480151.58,0.41951499,0.129293214
2/9/2016,3.16477133,4.0618782,3.16477133,4.02284675,12917503.57,0.89710687,0.220860111
2/10/2016,4.04376602,4.93858694,3.61494926,4.47899484,21734000.89,1.32363768,0.268019516
2/11/2016,4.48961301,6.51583702,4.25570838,6.02963671,20390599.71,2.26012864,0.346866969
2/12/2016,5.97506086,6.75380401,5.03347644,5.63443453,15253988.86,1.72032757,0.254719795
2/13/2016,5.64053071,5.92432843,4.12813427,5.39206029,19237040.24,1.79619416,0.303189498
2/14/2016,5.4066833,5.68845186,4.49076932,5.29082829,7636508.33,1.19768254,0.210546308
2/15/2016,5.29611198,5.82672402,4.93117414,5.27132429,8738379.21,0.89554988,0.153696979
2/16/2016,5.27559011,5.54708829,3.90468838,4.32401172,9872873.37,1.64239991,0.296083247
2/17/2016,4.32061923,4.92392209,3.43242683,3.7744424,9700387.4,1.49149526,0.302907973
2/18/2016,3.76780859,5.08691304,3.37574949,4.40569867,12346165.5,1.71116355,0.336385454
2/19/2016,4.3956884,4.80702237,4.22029888,4.70930938,4392765.99,0.58672349,0.122055494
2/20/2016,4.70235283,4.93528032,4.10740617,4.35800752,5486759.49,0.82787415,0.167746125
2/21/2016,4.36506568,4.73022953,4.20785839,4.64397171,3623953.25,0.52237114,0.110432514
2/22/2016,4.63316181,5.71919405,4.61056265,5.68234758,9810399.62,1.1086314,0.193843991
2/23/2016,5.68316227,5.83107932,5.30717023,5.62633707,8682016.79,0.52390909,0.089847704
2/24/2016,5.62255828,6.31876259,5.48622288,6.25048279,7509235.13,0.83253971,0.131756764
2/25/2016,6.23846937,6.68500885,4.92676315,6.04748667,15247591,1.7582457,0.263013219
2/26/2016,6.04828582,6.37975446,5.76909364,5.94599737,5569451.46,0.61066082,0.095718546
2/27/2016,5.94636292,6.57074236,5.9074703,6.42447197,5923610.1,0.66327206,0.100943246
2/28/2016,6.41458935,6.76140877,6.33164177,6.46163988,6865825.59,0.429767,0.063561754
2/29/2016,6.43544272,6.63049637,6.03619908,6.31317011,4621201.53,0.59429729,0.08963089
3/1/2016,6.31626026,8.05970933,6.23624922,7.62648838,16847280.27,1.82346011,0.226243905
3/2/2016,7.63356339,8.7153612,7.17016908,8.42524558,22346952.73,1.54519212,0.177295247
3/3/2016,8.50144643,10.03900205,8.16395419,9.2889289,37760529.99,1.87504786,0.18677632
3/4/2016,9.28050485,10.45735999,8.13437507,10.20388903,34754249.95,2.32298492,0.222138754
3/5/2016,10.26995078,12.23504418,9.37556234,10.89576083,51893588.92,2.85948184,0.233712425
3/6/2016,10.92303724,12.07366774,9.36004438,11.29210385,34544179.27,2.71362336,0.224755511
3/7/2016,11.27377581,11.84390893,9.16469521,9.46764127,28304641.71,2.67921372,0.22621026
3/8/2016,9.48959003,10.23499604,8.70373792,9.78501648,21174920.29,1.53125812,0.149610035
3/9/2016,9.75035495,12.11694066,9.58785393,11.82984181,26299400.23,2.52908673,0.208723208
3/10/2016,11.78426654,12.25143867,10.74545851,11.19765592,22644331.28,1.50598016,0.12292272
3/11/2016,11.28401874,11.59525988,10.29295287,11.0327339,19449232.7,1.30230701,0.112313741
3/12/2016,11.06980605,13.64505666,10.77507076,13.42945729,47435385.92,2.8699859,0.210331549
3/13/2016,13.43219989,15.26964874,13.35924022,14.37139121,41218578.55,1.91040852,0.125111491
3/14/2016,14.38505542,15.24451275,11.21587211,12.4545431,52613365.22,4.02864064,0.264268246
3/15/2016,12.5191397,13.23926182,11.80172993,12.98645889,25879038.44,1.43753189,0.10858097
3/16/2016,12.98059494,13.77328165,12.34908515,12.45344678,21607253.38,1.4241965,0.103402844
3/17/2016,12.55740479,12.8436779,10.30793015,11.08164438,41030937.82,2.53574775,0.19743159
3/18/2016,11.07943246,11.14939555,8.33665225,11.08046079,56898991.86,2.8127433,0.252277649
3/19/2016,11.09413711,11.27550413,9.78329273,10.53889201,22766455.49,1.4922114,0.132340992
3/20/2016,10.54080822,10.94943885,9.49625181,10.27572221,16417583.59,1.45318704,0.132717947
3/21/2016,10.25547233,12.06659215,10.09216247,11.87702602,29312555.53,1.97442968,0.16362778
3/22/2016,11.84782736,12.07738218,11.05945396,11.25800056,18597350.11,1.01792822,0.084283846
3/23/2016,11.24036514,12.47677224,11.19542498,12.41809973,19051052.6,1.28134726,0.102698618
3/24/2016,12.41233883,12.45571483,10.73494093,11.20331495,25431860.99,1.7207739,0.138151357
3/25/2016,11.21087118,11.44727785,10.4731444,10.73203659,11940152.6,0.97413345,0.085097388
3/26/2016,10.73569819,11.26602191,10.57825486,10.98323376,7472474,0.68776705,0.061047906
3/27/2016,10.96812402,11.34993272,10.04547896,10.43465248,16012877.8,1.30445376,0.114930528
3/28/2016,10.43596224,11.90561143,10.31296175,11.67393397,22014001.67,1.59264968,0.133773027
3/29/2016,11.69029595,11.99061483,11.08733059,11.61434558,15533882.45,0.90328424,0.075332604
3/30/2016,11.65262354,12.21113767,11.40560831,11.93762465,17512215.78,0.80552936,0.065966774
3/31/2016,11.96676113,12.17462534,11.20910329,11.41427589,13168940.6,0.96552205,0.0793061
4/1/2016,11.42922756,11.94023963,11.39541387,11.7002976,8739974.01,0.54482576,0.045629382
4/2/2016,11.70379634,11.77918811,11.38855222,11.63586498,5550915.66,0.39063589,0.033163227
4/3/2016,11.65136301,11.76141749,11.50852621,11.65307147,3811916.32,0.25289128,0.021501769
4/4/2016,11.63277588,11.6351167,11.02557868,11.13065704,7950027.3,0.60953802,0.052387787
4/5/2016,11.13232729,11.28443104,10.0875107,10.46377094,16969815.24,1.19692034,0.106068293
4/6/2016,10.47359355,10.97149683,10.19325558,10.66738301,11228258.37,0.77824125,0.070933006
4/7/2016,10.70516714,10.86528817,9.89938475,10.0872935,11549805.71,0.96590342,0.088898095
4/8/2016,10.07843923,10.30999777,9.47168179,9.72507747,13475838.29,0.83831598,0.081310976
4/9/2016,9.7188169,10.14446063,8.94441652,9.14403977,14986575.98,1.20004411,0.118295507
4/10/2016,9.14808702,9.32792702,7.43120301,8.94621631,44848473.75,1.89672401,0.203338213
4/11/2016,8.95985712,8.99822188,7.99269413,8.66305359,13679294.03,1.00552775,0.111747383
4/12/2016,8.66305101,8.74057714,7.15777599,7.474045,22751936.63,1.58280115,0.181086572
4/13/2016,7.45041445,8.75171167,7.02604389,8.0972268,30351894.85,1.72566778,0.197180603
